text,T,EH,K,S,T,,,,,,
neon,N,IY,AA,N,,,,,,,
yellow,Y,EH,L,OW,,,,,,,
bright,B,R,AY,T,,,,,,,
paper,P,EY,P,ER,,,,,,,
crayon,K,R,EY,AA,N,,,,,,
rough,R,AH,F,,,,,,,,
pencil,P,EH,N,S,AH,L,,,,,
shaped,SH,EY,P,T,,,,,,,
cup,K,AH,P,,,,,,,,
transparent,T,R,AE,N,S,P,EH,R,AH,N,T
half,HH,AE,F,,,,,,,,
full,F,UH,L,,,,,,,,
black,B,L,AE,K,,,,,,,
orange,AO,R,AH,N,JH,,,,,,
rectangle,R,EH,K,T,AE,NG,G,AH,L,,
brown,B,R,AW,N,,,,,,,
coffee,K,AA,F,IY,,,,,,,
fat,F,AE,T,,,,,,,,
chips,CH,IH,P,S,,,,,,,
silver,S,IH,L,V,ER,,,,,,
rattles,R,AE,T,AH,L,Z,,,,,
gray,G,R,EY,,,,,,,,
aluminum,AH,L,UW,M,AH,N,AH,M,,,
large,L,AA,R,JH,,,,,,,
small,S,M,AO,L,,,,,,,
soft,S,AA,F,T,,,,,,,
round,R,AW,N,D,,,,,,,
heavy,HH,EH,V,IY,,,,,,,
squishy,S,K,W,IH,SH,IY,,,,,
orange,AO,R,AH,N,JH,,,,,,
topped,T,AA,P,T,,,,,,,
blue,B,L,UW,,,,,,,,
container,K,AH,N,T,EY,N,ER,,,,
purple,P,ER,P,AH,L,,,,,,
tube,T,UW,B,,,,,,,,
red,R,EH,D,,,,,,,,
can,K,AE,N,,,,,,,,
full,F,UH,L,,,,,,,,
water,W,AO,T,ER,,,,,,,
cylindrical,S,AH,L,IH,N,D,R,IH,K,AH,L
tub,T,AH,B,,,,,,,,
colored,K,AH,L,ER,D,,,,,,
thing,TH,IH,NG,,,,,,,,
beans,B,IY,N,Z,,,,,,,
narrow,N,EH,R,OW,,,,,,,
shiny,SH,AY,N,IY,,,,,,,
hollow,HH,AA,L,OW,,,,,,,
open,OW,P,AH,N,,,,,,,
spraycan,S,P,R,EY,K,AH,N,,,,
silent,S,AY,L,AH,N,T,,,,,
top,T,AA,P,,,,,,,,
spiky,S,P,AY,K,IY,,,,,,
tiny,T,AY,N,IY,,,,,,,
plastic,P,L,AE,S,T,IH,K,,,,
white,HH,W,AY,T,,,,,,,
empty,EH,M,T,IY,,,,,,,
wide,W,AY,D,,,,,,,,
inside,IH,N,S,AY,D,,,,,,
cap,K,AE,P,,,,,,,,
rectangular,R,EH,K,T,AE,NG,G,Y,AH,L,ER
thin,TH,IH,N,,,,,,,,
cylinder,S,IH,L,AH,N,D,ER,,,,
lid,L,IH,D,,,,,,,,
metallic,M,AH,T,AE,L,IH,K,,,,
prism,P,R,IH,Z,AH,M,,,,,
green,G,R,IY,N,,,,,,,
roll,R,OW,L,,,,,,,,
circular,S,ER,K,Y,AH,L,ER,,,,
circles,S,ER,K,AH,L,Z,,,,,
pink,P,IH,NG,K,,,,,,,
canister,K,AE,N,AH,S,T,ER,,,,
styrofoam,S,T,AY,R,AH,F,OW,M,,,
medium,M,IY,D,IY,AH,M,,,,,
sized,S,AY,Z,D,,,,,,,
tall,T,AO,L,,,,,,,,
short,SH,AO,R,T,,,,,,,
liquid,L,IH,K,W,AH,D,,,,,
light,L,AY,T,,,,,,,,
clear,K,L,IH,R,,,,,,,
metal,M,EH,T,AH,L,,,,,,
object,AH,B,JH,EH,K,T,,,,,
aerosol,EH,R,AH,S,AA,L,,,,,
bottle,B,AA,T,AH,L,,,,,,
pineapple,P,AY,N,AE,P,AH,L,,,,
